3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	AWPR_REPRO	CUDI_CODE_REPRO	CULT_CODE_REPRO	CUNO_CODE_REPRO	LLT_CODE	PLT_CODE_POST	SDHT_CODE	APANTH_REPRO	APSH	APCO_REV_POST	APCO_REV_REPRO	AWCO_LREV	AWCO_REV	AWDIST	BLANTHPR_VEG	BLANTHDI_VEG	BLPUB_VEG	BLSCO_ANTH_VEG	BLSCO_REV_VEG	CCO_REV_VEG	CUAN_REPRO	ENDO	FLA_EREPRO	FLA_REPRO	INANTH	LIGCO_REV_VEG	LIGSH	LPCO_REV_POST	LPPUB	LSEN	NOANTH	PEX_REPRO	PTH	SCCO_REV	SECOND_BR_REPRO	SLCO_REV	SPKF	SLLT_CODE	AUCO_REV_VEG	BLCO_REV_VEG	CUST_REPRO	INCO_REV_REPRO	LA	NOCO_REV	PA_REPRO	PSH	PTY
CX133	Zhengshan97																																															
CX230	IR_64-IL																																															
CX403	IR_64_A																																															
IRIS_313-11480	PR_106::IRGC_53418-1	0.0	2.0	2.0	2.0	3.0	2.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		1.0		11.0	3.0	20.0	2.0	7.0		5.0	3.0	10.0	1.0	20.0	5.0	1.0	61.0	63.0	1.0	60.0	1.0	60.0	2.0	1.0	5.0
IRIS_313-8568	LARHA_MUGAD::IRGC_52339-1	0.0	1.0	3.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	60.0	3.0	1.0		5.0		11.0	3.0	20.0	4.0	9.0		9.0	3.0	55.0	1.0	20.0	4.0	3.0	61.0	63.0	3.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-10985	GOBOL_SAIL_(BALAM)::IRGC_26624-2	0.0	1.0	5.0	2.0	4.0	3.0	1.0				10.0		0.0				3.0		60.0	60.0	3.0	1.0		3.0		11.0		54.0		9.0		9.0	2.0	10.0		20.0	4.0	3.0	61.0	60.0	9.0	60.0					9.0
IRIS_313-11708	KHAO_YAI_GUANG::IRGC_65972-1	0.0	2.0	6.0	2.0	4.0	3.0	2.0			20.0	20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	53.0	4.0	5.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	7.0	41.0	3.0	60.0	2.0	1.0	5.0
IRIS_313-12048	LIMA::IRGC_81487-1	0.0	2.0	7.0	2.0	4.0	3.0	2.0			20.0	20.0		0.0				3.0		60.0	61.0	3.0	1.0		3.0		11.0	3.0	53.0	4.0	5.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	41.0	5.0	60.0	2.0	1.0	5.0
IRIS_313-10239	LIU_XU::IRGC_109232-1	7.0	2.0	4.0	3.0	3.0	3.0	2.0			20.0	20.0		20.0				3.0		60.0	61.0	5.0	1.0		7.0		11.0	3.0	20.0	4.0	7.0		9.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	9.0	60.0	2.0	1.0	9.0
CX145	Minghui_63																																															
CX151	AZUCENA																																															
IRIS_313-10841	KETAN_NANGKA::IRGC_19961-2	0.0	2.0	5.0	2.0	4.0	4.0	2.0				10.0		0.0				3.0		60.0	60.0	3.0	2.0		7.0		11.0		42.0		9.0		9.0	1.0	10.0		20.0	4.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-12029	CHAO_MEO::IRGC_80273-1	0.0	2.0	5.0	2.0	2.0	3.0	2.0			52.0	71.0		0.0				2.0		60.0	61.0	1.0	1.0		7.0		11.0	3.0	20.0	1.0	9.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	41.0	5.0	60.0	2.0	3.0	5.0
CX140	Nipponbare																																															
IRIS_313-11163	NATEL_BORO::IRGC_34749-1	0.0	2.0	4.0	3.0	3.0	3.0	3.0				20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	54.0	4.0	3.0		5.0	3.0	70.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	41.0	2.0	60.0	2.0	3.0	5.0
CX368	N_22																																															
IRIS_313-10150	N_22::IRGC_46459-1	0.0	1.0	5.0	3.0	4.0	3.0	2.0				80.0		0.0				3.0		84.0	61.0	3.0	1.0		3.0		11.0	3.0	20.0	4.0	3.0		5.0	2.0	51.0	1.0		5.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-8813	ARC_10497::IRGC_12485-1	1.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		80.0				3.0		84.0	60.0	1.0	1.0		5.0		11.0		80.0		9.0		9.0	2.0	10.0		80.0	4.0	3.0	61.0	60.0	9.0	60.0					1.0
B001	Heibiao																																															
B002	Sansuijin																																															
B003	Zaoshengbai																																															
B004	Qiuguangtengxi_104																																															
B005	Wanshi																																															
B006	Yikong																																															
B007	Tianhandao																																															
B008	Baxiang																																															
B009	Vietnam_Zaodao																																															
B010	Malaihong																																															
B011	CO_22																																															
B012	2037_(Rajahamsal)																																															
B013	Sri_Lanka_1																																															
B014	Wuziluosi_215																																															
B015	Kahamu																																															
B016	Aomierte_168																																															
B017	Aerjituo																																															
B018	American_Huangkedao																																															
B019	Buleida_A-75																																															
B020	Jineiyadao																																															
B021	Seln_244A6-20																																															
B023	Gaoliqiu																																															
B024	Xianluosichi																																															
B025	Djanda_Mandja																																															
B026	Padi_Ladang_Ase_Polo_Komek																																															
B027	C_894-21																																															
B028	IR_10179-23-1-3																																															
B029	Dumai																																															
B030	Jaibattey																																															
B031	Ngatsin																																															
B032	Rohini																																															
B033	BW_293-2																																															
B034	Albania_Rice																																															
B035	American_Rice																																															
B036	Jijucas_Claro																																															
B037	Nanoay_P.A																																															
B038	Nabated_A_Smar																																															
